Source Name	Characteristics[OperatorVariation]	Characteristics[DataSource]	Characteristics[4 meta-groups]	Characteristics[15 meta-groups]	Characteristics[369 groups]	Characteristics[groups with 10 and more replicates]	Characteristics[Blood/NonBlood meta-groups]	Characteristics[Organism]	Characteristics[OrganismPart]	Characteristics[CellType]	Characteristics[CellLine]	Characteristics[DiseaseState]	Characteristics[DevelopmentalStage]	Characteristics[DiseaseStage]	Characteristics[Sex]	Characteristics[Age]	Characteristics[Generalization 6 on reduced data]	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[4 meta-groups]	Factor Value[15 meta-groups]	Factor Value[369 groups]	Factor Value[Blood-NonBlood meta-groups]	Factor Value[6 meta-groups]	Factor Value[4 groups from blood to incompletely diff]	Factor Value[96 groups]
1102960533.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	naive CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960533.CEL_L	biotin	1102960533.CEL	A-AFFY-33	1102960533.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960569.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	naive CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960569.CEL_L	biotin	1102960569.CEL	A-AFFY-33	1102960569.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960602.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	naive CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960602.CEL_L	biotin	1102960602.CEL	A-AFFY-33	1102960602.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960632.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	central memory 1 CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960632.CEL_L	biotin	1102960632.CEL	A-AFFY-33	1102960632.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960664.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	central memory 1 CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960664.CEL_L	biotin	1102960664.CEL	A-AFFY-33	1102960664.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960695.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	central memory 1 CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960695.CEL_L	biotin	1102960695.CEL	A-AFFY-33	1102960695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960731.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	central memory CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960731.CEL_L	biotin	1102960731.CEL	A-AFFY-33	1102960731.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960765.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	central memory CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960765.CEL_L	biotin	1102960765.CEL	A-AFFY-33	1102960765.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960797.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	central memory CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960797.CEL_L	biotin	1102960797.CEL	A-AFFY-33	1102960797.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960831.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	effector memory CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960831.CEL_L	biotin	1102960831.CEL	A-AFFY-33	1102960831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960873.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	effector memory CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960873.CEL_L	biotin	1102960873.CEL	A-AFFY-33	1102960873.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960904.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	blood	effector memory CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960904.CEL_L	biotin	1102960904.CEL	A-AFFY-33	1102960904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
